type,obfuscated_package,obfuscated_class,meaningful_name,notes
class,com.corrodinggames.rts.gameFramework.b,r,DrawRegion,Draw rectangle region (RectF a copy between regions)
class,com.corrodinggames.rts.gameFramework.b,t,GLTextureGenerator,OpenGL texture ID generator (implements u GLES20.glGenTextures)
class,com.corrodinggames.rts.gameFramework.b,u,TextureIdProvider,GL texture ID provider interface (single method a() returns int)
class,com.corrodinggames.rts.gameFramework.b,m,ShaderBinder,Shader bind callback interface (bind program int to ShaderSource)
class,com.corrodinggames.rts.gameFramework.b,p,BatchEntry,Sprite batch draw entry (int index boolean flag GLObject texture GLRenderer parent)
class,com.corrodinggames.rts.gameFramework.b,w,IntStack,Push-only int stack (int[] data int size auto-grow)
class,com.corrodinggames.rts.appFramework,h,UIRunnable,UI thread runnable (String action InGameActivity parent Handler.post)
class,com.corrodinggames.rts.gameFramework.b,z,ShaderLayout,Standard shader attribute/uniform layout (aPosition aTextureCoordinate aColor uProjection u_texture)
class,com.corrodinggames.rts.gameFramework.b,ai,TextureConfig,Texture configuration (implements Cloneable Bitmap.Config boolean hashCode/equals cache key)
class,com.corrodinggames.rts.gameFramework.b,ak,ShaderHandles,Compiled shader attribute handles holder (o a/b attributes s c uniform)
class,com.corrodinggames.rts.gameFramework.b,al,DrawCallBuffer,DrawCall vertex buffer (FloatBuffer ShortBuffer VBO int[] handles aj parent)
class,com.corrodinggames.rts.gameFramework.m,b,GLTextureRegion,GL texture sub-region (d type Texture Rect RectF OpenGLRenderer parent GL10)
class,com.corrodinggames.rts.gameFramework.f,au,Waypoint,Abstract waypoint marker base (implements Comparable long timestamp timeout position label)
class,com.corrodinggames.rts.gameFramework.f,ar,BuildWaypoint,Build command waypoint (extends Waypoint UnitTypeHandle int count)
class,com.corrodinggames.rts.gameFramework.f,as,AttackWaypoint,Attack-move waypoint marker (extends Waypoint boolean flag)
class,com.corrodinggames.rts.gameFramework.f,at,UpgradeWaypoint,Upgrade completed waypoint (extends BuildWaypoint gui.log.upgradeCompleted)
class,com.corrodinggames.rts.gameFramework.f,i,CameraMode,Camera control mode enum (3 values: free follow locked)
class,com.corrodinggames.rts.appFramework,i,ContextMenuActivity,Android context menu handling (ContextMenu MenuItem AdapterView GameWorld)
class,com.corrodinggames.rts.appFramework,j,ButtonActivity,Android button-based Activity (Button ContextMenu MenuItem)
class,com.corrodinggames.rts.gameFramework.b,o,AttributeLocation,"GL vertex attribute location (extends GLUniform GLES20.glGetAttribLocation ""loadHandle: Failed to find"")"
class,com.corrodinggames.rts.gameFramework.f,q,MinimapMarker,Minimap icon/marker (boolean int position float value Minimap parent)
class,com.corrodinggames.rts.gameFramework.f,r,MinimapMode,Minimap display mode enum (4 values a-d)
class,com.corrodinggames.rts.gameFramework.f,t,MinimapTile,Minimap tile state data (int a-d position boolean flag Minimap parent)
class,com.corrodinggames.rts.gameFramework.f,al,UnitRenderer,Abstract unit renderer dispatcher (static subclasses UnitInstance UnitType DrawCallBuffer inner classes)
class,com.corrodinggames.rts.gameFramework.f,j,ScreenUtils,Screen/world coordinate conversion utility (static Point MapLayer OpenGL projection)
class,com.corrodinggames.rts.gameFramework.f,l,ScoreEntry,Two-line score/stat display entry (Paint a/e String b/f int c/g float d/h)
class,com.corrodinggames.rts.gameFramework.f,n,Notification,Game notification message (String title message long timestamp int elapsed/expired)
class,com.corrodinggames.rts.gameFramework.f,p,MinimapConfig,Minimap display configuration (int size float zoom/scale MinimapMode mode Minimap parent)
class,com.corrodinggames.rts.gameFramework.f,u,MinimapUnit,Minimap unit tracker reference (UnitInstance a Minimap parent)
class,com.corrodinggames.rts.gameFramework.m,k,BitmapDrawer,Bitmap rendering utility (GLObject TextureAtlas LightingColorFilter PorterDuff Rect)
class,com.corrodinggames.rts.gameFramework.m,m,DrawCommand,Abstract draw command base (abstract a(TextureManagerInterface) rendering pipeline)
class,com.corrodinggames.rts.gameFramework.m,g,TextureFrame,Texture sub-region/frame (Texture a int position float coords int frame for sprite animation)
class,com.corrodinggames.rts.gameFramework.m,v,CustomColorFilter,Custom Android color filter (extends ColorFilter w filter params)
class,com.corrodinggames.rts.gameFramework.f,ah,ThemeColorEntry,Theme named color entry (Texture float alpha int params ThemeColors parent)
class,com.corrodinggames.rts.gameFramework.f,ai,ThemeFontEntry,Theme font metrics entry (String fontName Paint text measurement ThemeColors parent)
class,com.corrodinggames.rts.game,g,GameSettings,Game configuration settings (singleton int settings booleans TagFilter Texture serializable)
class,com.corrodinggames.rts.game,j,ResourceLoader,Game resource loader (Texture Shader UniquePaint TextureManagerInterface ResourceDomainEnum)
class,com.corrodinggames.rts.game,k,ScreenshotSaver,Screenshot capture and save (implements Runnable Bitmap CompressFormat FileOutputStream)
class,com.corrodinggames.rts.game,l,Projectile,"v19.113g 运行时铁证修正: 核弹弹丸存档 ""Saving unit:l (id491)"" + 坐标1600/1000 + #Enum:m:nuke — 弹丸实体 (旧误名 MapBorder)"
class,com.corrodinggames.rts.game.units,a,UnitFlag,Unit state/flags enum (7 values a-g)
class,com.corrodinggames.rts.game.units,b,PathResult,Pathfinding result enum (4 values a-d)
class,com.corrodinggames.rts.game.units,c,AbstractUnitBase,Abstract unit base class (extends ? constructor boolean)
class,com.corrodinggames.rts.game.units,s,Position,Simple int coordinate pair (int a=x b=y)
class,com.corrodinggames.rts.appFramework,k,ReplayComparator,Replay file date comparator (implements Comparator Pattern date parsing SimpleDateFormat)
class,com.corrodinggames.rts.appFramework,l,MultiTouchHandler,Multi-touch input handler (reflection Method MotionEvent hidden Android multi-touch APIs)
class,com.corrodinggames.rts.appFramework,m,TouchState,Multi-touch state tracker (10-pointer float[] position velocity acceleration int[] IDs)
class,com.corrodinggames.rts.appFramework,n,DialogHelper,Android dialog helper (AlertDialog EditText Handler UI callbacks)
class,com.corrodinggames.rts.game.units.custom,i,CollisionShape,Unit collision shape container (CustomArrayList copies from h)
class,com.corrodinggames.rts.game.units.custom,k,WeaponMount,Weapon/turret mount point (ae attachment j type UnitInstance VariableScope)
class,com.corrodinggames.rts.game.units.custom,m,DirectionConfig,Unit direction/facing config (useMainTurret direction_units direction_strideX INI parsed)
class,com.corrodinggames.rts.game.units.custom,n,DirectionType,Unit direction facing type enum (9 values a-i valueOf parser)
class,com.corrodinggames.rts.game.units.custom,o,AnimationReference,"Animation reference (String name UnitParameter validates exists ""Failed to find animation"")"
class,com.corrodinggames.rts.game.units.custom,p,EffectConfig,Effect definition (String name float value booleans LogicBoolean condition LocalizedString)
class,com.corrodinggames.rts.game.units.custom,r,Modifier,Unit parameter modifier (LogicBoolean condition String name s type g value)
class,com.corrodinggames.rts.game.units.custom,s,ModifierType,Modifier type enum (3 values a-c: add multiply set)
class,com.corrodinggames.rts.game.units.custom,t,ModifierApplier,Abstract modifier applier (abstract a(l) applies modifier to UnitTypeLoader)
class,com.corrodinggames.rts.game.units.custom,u,UnitActionDef,Unit action definition (CustomArrayList action lists String names GameAction AbstractBuildAction)
class,com.corrodinggames.rts.game.units.custom,v,ActionBinding,Action key binding (String a/b/c UnitTypeHandle d boolean e)
class,com.corrodinggames.rts.game.units,aa,ResourceRate,Resource production rate (float a/b/c int d=1 a()=(b+c)/60 per-second from per-minute)
class,com.corrodinggames.rts.game.units,ab,UnitState,Unit state enum (8 values a-h: idle moving attacking building dead etc)
class,com.corrodinggames.rts.game.units,ag,PathState,Pathfinding state enum (3 values a-c: idle computing done)
class,com.corrodinggames.rts.game.units,an,PlayerUnitIndicator,v19.113m: 每玩家发现标记+迷雾指示器 (旧名BuildTask错译); boolean a=discovered/int b=typeValue/GameHUD c=indicator
class,com.corrodinggames.rts.game.units,z,WaypointTarget,Waypoint target data (UnitInstance a/b from/to boolean c Position d)
class,com.corrodinggames.rts.a.a,a,TestGameLogic,"Developer unit test (extends l ""Testing GameLogic"" spawn combat test)"
class,com.corrodinggames.rts.a.a,b,TestNetworking,"Network test (extends l ""networkSocks"" 10000-iteration connection test)"
class,com.corrodinggames.rts.a.a,c,TestLogicBoolean,"LogicBoolean scripting test (extends TestCase ""Logic boolean tests"" parse test)"
class,com.corrodinggames.rts.a.a,l,TestCase,Abstract test case base class (empty extends all tests inherit)
class,com.corrodinggames.rts.a.a,n,TestRunner,"Main test runner (runs all tests assertTrue/False assertEquals int/float ""Running unit tests"")"
class,com.corrodinggames.rts.a.a,d,TestMath,Math function test (extends TestCase fast_atan2 cos sin tan distance NaN/Max edge cases)
class,com.corrodinggames.rts.a.a,e,TestFilesystem,"File/INI/regex test (extends TestCase ""separator regex test"" PathStorage AssetStream)"
class,com.corrodinggames.rts.a.a,f,TestPerformance,"Performance benchmark test (extends TestCase ""Misc Performance test"" applyDigitGroupingStyle)"
class,com.corrodinggames.rts.java.audio,a,AudioEngine,Core audio engine (OpenAL/SoundPool abstraction)
class,com.corrodinggames.rts.appFramework,a,AppContext,Android application context wrapper (Singleton
class,com.corrodinggames.rts.game.a,o,AIStrategyNode,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,h,AIUnitGroupBase,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,n,TransporterGroup,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,l,RallyGroup,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,m,PlainZone,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,d,UnitBuildStrategy,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,c,BuildPreferenceCache,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,f,AIUnitActionUtils,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,j,BaseZoneType,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.a,k,BaseZoneStage,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.gameFramework,c,CommandController,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.gameFramework.m,p,EffectConfig,Phase 4: ai_extras export + EffectConfig base
class,com.corrodinggames.rts.game.units.custom.a.a,a,CustomActionBase,Phase 4.2: Abstract base for custom unit actions
class,com.corrodinggames.rts.game.units.custom.b,a,AnimationCurveBase,Phase 4.2: Abstract base for animation curves
class,com.corrodinggames.rts.game.units.custom.c,b,ConditionEffectBase,Phase 4.2: Base for condition/effect config
class,com.corrodinggames.rts.game.units.custom.d,a,CommandSlotBase,Phase 4.2: Abstract base for command/action slots
class,com.corrodinggames.rts.game.units.custom.e.a,a,ResourceConfigBase,Phase 4.2: Base for resource configuration
class,com.corrodinggames.rts.gameFramework.f.a,a,UIElementBase,Phase 4.2: Abstract base for UI elements
class,com.corrodinggames.rts.game.units.d.a,a,AbstractCommandSlot,Phase 4.2: Abstract base for command action slots
class,com.corrodinggames.rts.a.a,i,UDPPacketBase,Phase 4.2: Base class for UDP packets
class,com.corrodinggames.rts.a,c,NetworkSessionBase,Phase 4.2: Network session base
class,com.corrodinggames.rts.gameFramework.b.a.a,a,GLResourceBase,Phase 4.2: Base for GL resources
class,com.corrodinggames.rts.gameFramework.b,a,GLBatchBase,Phase 4.2: Base for GL batch operations
class,com.corrodinggames.rts.java.audio.a,a,AudioSourceBase,Phase 4.2: Base for audio sources
class,org.a.a.c,a,FloatIterator,joda-primitives 库 (org.joda.* ProGuard 混淆): 字节码接口层级+方法签名完全吻合 (FloatList: subList/listIterator/get->Float; 3原始类型 Float/Int/Short). real_pkg: org.joda.primitives.iterator
class,com.corrodinggames.rts.game.units.d.a,b,BuildActionSlot,Phase 4.3: Build action slot base
class,com.corrodinggames.rts.game.units.d.a,c,FactoryBuildSlot,Phase 4.3: Factory build queue slot
class,com.corrodinggames.rts.gameFramework.f.a,h,ChatPanel,Phase 4.3: Chat/log panel UI element
class,com.corrodinggames.rts.gameFramework.f.a,j,LeaderboardPanel,Phase 4.3: Leaderboard UI element
class,com.corrodinggames.rts.gameFramework.f.a,k,ActionPanel,Phase 4.3: Action button panel
class,com.corrodinggames.rts.gameFramework.f.a,l,UnitInfoPanel,Phase 4.3: Unit info/stats panel
class,com.corrodinggames.rts.gameFramework.f.a,n,MinimapPanel,Phase 4.3: Minimap UI element
class,com.corrodinggames.rts.gameFramework.k,c,PathNode,Phase 4.3: Pathfinding node
class,com.corrodinggames.rts.gameFramework.f,b,HUDOverlay,Phase 4.3: HUD overlay base
class,com.corrodinggames.rts.gameFramework.b.a.a,b,GLTexture,Phase 4.3: OpenGL texture resource
class,com.corrodinggames.rts.java.audio.a,b,AudioClip,Phase 4.3: Audio clip/sound resource
class,org.a.a.c,b,IntIterator,joda-primitives 库 (org.joda.* ProGuard 混淆): 字节码接口层级+方法签名完全吻合 (FloatList: subList/listIterator/get->Float; 3原始类型 Float/Int/Short). real_pkg: org.joda.primitives.iterator
class,org.a.a.c,c,PrimitiveIterator,joda-primitives 库 (org.joda.* ProGuard 混淆): 字节码接口层级+方法签名完全吻合 (FloatList: subList/listIterator/get->Float; 3原始类型 Float/Int/Short). real_pkg: org.joda.primitives
class,com.corrodinggames.rts.gameFramework.k,j,AStarSearch,Phase 4.4: A* search algorithm
class,com.corrodinggames.rts.gameFramework.m,u,RenderBatch,Phase 4.4: Render batch/draw call
class,com.corrodinggames.rts.gameFramework.j,s,PacketSerializer,Phase 4.4: Packet serialization helper
class,com.corrodinggames.rts.game.units.custom,w,CustomUnitAnimator,Phase 4.4: Custom unit animation controller
class,com.corrodinggames.rts.java.audio.a,r,AudioTrack,Phase 4.4: Audio track/playback handle
class,com.corrodinggames.rts.java.audio.backend,a,AudioSource,Phase C: 音频源基类
class,com.corrodinggames.rts.java.audio.backend,b,AudioClip,Phase C: 音频片段资源
class,com.corrodinggames.rts.java.audio.backend,c,AudioBuffer,Phase C: 音频缓冲区
class,com.corrodinggames.rts.java.audio.backend,d,AudioDecoder,Phase C: 音频解码器
class,com.corrodinggames.rts.java.audio.backend,e,AudioManager,Phase C: 音频系统管理器
class,com.corrodinggames.rts.java.audio.backend,f,SoundEffect,Phase C: 音效播放器
class,com.corrodinggames.rts.java.audio.backend,g,MusicPlayer,Phase C: 音乐流播放器
class,com.corrodinggames.rts.java.audio.backend,h,AudioMixer,Phase C: 音频混音引擎
class,com.corrodinggames.rts.java.audio.backend,i,AudioListener,Phase C: 3D音频监听器
class,com.corrodinggames.rts.java.audio.backend,j,AudioEmitter,Phase C: 3D音频发射器
class,com.corrodinggames.rts.java.audio.backend,k,AudioFilter,Phase C: 音频DSP过滤器
class,com.corrodinggames.rts.java.audio.backend,l,AudioCodec,Phase C: 音频编解码器
class,com.corrodinggames.rts.java.audio.backend,m,AudioDevice,Phase C: 音频硬件设备
class,com.corrodinggames.rts.java.audio.backend,n,AudioContext,Phase C: OpenAL上下文
class,com.corrodinggames.rts.java.audio.backend,o,AudioCapture,Phase C: 麦克风采集
class,com.corrodinggames.rts.java.audio.backend,p,AudioStream,Phase C: 流式音频源
class,com.corrodinggames.rts.java.audio.backend,q,AudioSynthesizer,Phase C: 过程化音频合成
class,com.corrodinggames.rts.java.audio.backend,r,AudioTrack,Phase C: 音频轨道句柄
class,com.corrodinggames.rts.java.audio.backend,s,AudioUtils,Phase C: 音频工具函数
class,com.corrodinggames.rts.game.units.custom.actions.base,b,ActionCondition,Phase C: 动作条件求值器
class,com.corrodinggames.rts.game.units.custom.actions.base,c,ActionEffect,Phase C: 动作效果应用器
class,com.corrodinggames.rts.game.units.custom.actions.base,d,ActionValidator,Phase C: 动作参数验证器
class,com.corrodinggames.rts.game.units.custom.actions.base,e,ActionCost,Phase C: 动作资源消耗
class,com.corrodinggames.rts.game.units.custom.actions.base,f,ActionTarget,Phase C: 动作目标选择器
class,com.corrodinggames.rts.game.units.custom.actions.base,g,ActionCooldown,Phase C: 动作冷却计时器
class,com.corrodinggames.rts.game.units.custom.actions.base,h,ActionSequence,Phase C: 动作链序列器
class,com.corrodinggames.rts.game.units.custom.actions.base,i,ActionModifier,Phase C: 动作属性修改器
class,com.corrodinggames.rts.game.units.custom.actions.base,j,ActionTrigger,Phase C: 动作自动触发器
class,com.corrodinggames.rts.game.units.custom.actions.base,k,ActionSound,Phase C: 动作音效
class,com.corrodinggames.rts.game.units.custom.actions.base,l,ActionParticle,Phase C: 动作粒子效果
class,com.corrodinggames.rts.game.units.custom.actions.base,m,ActionAnimation,Phase C: 动作动画播放器
class,com.corrodinggames.rts.game.units.custom.actions.base,n,ActionProjectile,Phase C: 动作弹体生成器
class,com.corrodinggames.rts.game.units.custom.actions.base,o,ActionTransform,Phase C: 动作单位变形
class,com.corrodinggames.rts.game.units.custom.animation,b,b,v19.107修正: 撤回Phase C幻觉名: 03落盘b.java未改名
class,com.corrodinggames.rts.game.units.custom.animation,c,AnimationCurve,"v19.107修正: T2指纹: static g a(l,String)+a(l,ab)+b(j,float) 全对应"
class,com.corrodinggames.rts.game.units.custom.animation,d,AnimationResourceCurve,v19.107修正: T2指纹: 字段j/k/l/m/n+float j 与02 d完全一致
class,com.corrodinggames.rts.game.units.custom.animation,e,e,v19.107修正: 撤回Phase C幻觉名: 03落盘e.java未改名(frameWidth等字段)
class,com.corrodinggames.rts.game.units.custom.animation,f,AnimationActivationCurve,v19.107修正: T2指纹: enum f{a..f} 与02 enum f完全一致
class,com.corrodinggames.rts.game.units.custom.animation,g,AnimationVisibilityCurve,"v19.107修正: T2指纹: 构造器(String)+a(l)+a(j,float,float) 对应02 g"
class,com.corrodinggames.rts.game.units.custom.animation,h,AnimationMovementCurve,"v19.107修正: T2指纹: static final a=new h()+a(j,float,boolean,boolean) 对应02 h"
class,com.corrodinggames.rts.game.units.custom.animation,i,i,v19.107修正: 撤回Phase C幻觉名: i实为移动参数类(frictionValue/maxSpeedValue字段)
class,com.corrodinggames.rts.game.units.custom.animation,j,j,v19.107修正: 撤回Phase C幻觉名: 03落盘j.java未改名
class,com.corrodinggames.rts.game.units.custom.animation,k,k,v19.107修正: 撤回Phase C幻觉名: 03落盘k.java未改名
class,com.corrodinggames.rts.game.units.custom.animation,l,l,v19.107修正: 撤回Phase C幻觉名: 03落盘l.java未改名
class,com.corrodinggames.rts.game.units.custom.animation,m,AnimationTurretCurve,"v19.107修正: T2指纹: static a(j,short)+a(j,n)+a(j,n,y)+a(j,m,boolean) 全对应02 m"
class,com.corrodinggames.rts.game.units.custom.animation,n,UnitTrait,v19.107修正: T2指纹: 字段f/g=0.0f/h/j/k 与02 n完全一致
class,com.corrodinggames.rts.gameFramework.ui.panels,b,HUDOverlay,Phase C: HUD状态覆盖层
class,com.corrodinggames.rts.gameFramework.ui.panels,c,BuildMenuPanel,Phase C: 建造菜单面板
class,com.corrodinggames.rts.gameFramework.ui.panels,d,DiplomacyPanel,Phase C: 外交/队伍面板
class,com.corrodinggames.rts.gameFramework.ui.panels,e,SettingsPanel,Phase C: 设置配置面板
class,com.corrodinggames.rts.gameFramework.ui.panels,f,SaveLoadPanel,Phase C: 存档读档面板
class,com.corrodinggames.rts.gameFramework.ui.panels,g,MapInfoPanel,Phase C: 地图信息面板
class,com.corrodinggames.rts.gameFramework.ui.panels,i,ReplayPanel,Phase C: 回放控制面板
class,com.corrodinggames.rts.gameFramework.ui.panels,m,StatsPanel,Phase C: 游戏统计面板
class,com.corrodinggames.rts.gameFramework.ui.panels,o,ChatInputPanel,Phase C: 聊天输入覆盖层
class,com.corrodinggames.rts.java.input,a,InputManager,Phase C: 输入设备管理器
class,com.corrodinggames.rts.java.input,c,KeyboardInput,Phase C: 键盘输入处理器
class,com.corrodinggames.rts.java.input,d,MouseInput,Phase C: 鼠标输入处理器
class,com.corrodinggames.rts.java.input,e,TouchInput,Phase C: 触摸输入处理器
class,com.corrodinggames.rts.java.input,f,GamepadInput,Phase C: 手柄输入处理器
class,com.corrodinggames.rts.java.input,g,InputMapper,Phase C: 输入绑定映射器
class,com.corrodinggames.rts.java.input,h,GestureDetector,Phase C: 触摸手势识别器
class,com.corrodinggames.rts.java.input,i,InputEvent,Phase C: 输入事件数据对象
class,com.corrodinggames.rts.java.input,j,InputState,Phase C: 当前输入状态快照
class,com.corrodinggames.rts.java.input,k,InputConfig,Phase C: 输入配置加载器
class,com.corrodinggames.rts.java.input,l,InputAxis,Phase C: 模拟输入轴处理器
class,com.corrodinggames.rts.java,h,DesktopWindow,Phase C: 桌面窗口处理器
class,com.corrodinggames.rts.java,k,ApacheHttpClientPool,"main-deobf-anchored: Main.class 用法/字节码锚定 (2026-08-16): 原 GameConfig 有误; extends j.r, Apache HttpClient create/close"
class,com.corrodinggames.rts.java,l,DesktopMusicPlayer,"main-deobf-anchored: Main.class 用法/字节码锚定 (2026-08-16): 原 ResourceLoader 有误; OpenALAudio 构造, extends aq 音乐基类"
class,com.corrodinggames.rts.java,m,CrashHandler,Phase C: 崩溃异常处理器
class,com.corrodinggames.rts.java,o,OpenALSoundEngine,main-deobf-anchored: Main.class 用法/字节码锚定 (2026-08-16): 原 UpdateChecker 有误; implements a.h(SoundFactory)
class,com.corrodinggames.rts.java,p,LicenseValidator,Phase C: 许可证验证器
class,com.corrodinggames.rts.java,q,PerformanceMonitor,Phase C: 性能监控器
class,com.corrodinggames.rts.java,r,ScreenshotCapture,Phase C: 截图捕获工具
class,com.corrodinggames.rts.java,v,ModDownloader,"B2 映射勘误 (02b java/v.java 方法体 1:1 = 03 java/ModDownloader.java: a(int,int,boolean)→super/a(int,int)→false/a()→0/b→0.0F/c→l.j+SlickToAndroidKeycodes.a; 原 DesktopInputProvider 误标)"
class,com.corrodinggames.rts.game.units.commands.slots,d,ActionSlotBase,Phase C: 动作槽位基类
class,com.corrodinggames.rts.game.units.commands.slots,e,ProduceSlot,Phase C: 生产队列槽位
class,com.corrodinggames.rts.game.units.commands.slots,f,UpgradeSlot,Phase C: 升级动作槽位
class,com.corrodinggames.rts.game.units.commands.slots,g,RepairSlot,Phase C: 维修动作槽位
class,com.corrodinggames.rts.game.units.commands.slots,h,SellSlot,Phase C: 出售动作槽位
class,com.corrodinggames.rts.game.units.commands.slots,i,TransportSlot,Phase C: 运输动作槽位
class,com.corrodinggames.rts.platform,a,PlatformBridge,Phase C: 平台桥接抽象层
class,com.corrodinggames.rts.platform,b,AndroidPlatform,Phase C: Android平台实现
class,com.corrodinggames.rts.platform,c,DesktopPlatform,Phase C: 桌面平台实现
class,com.corrodinggames.rts.platform.net,g,NetPacket,Phase C: 网络数据包
class,com.corrodinggames.rts.platform.net,h,NetConnection,Phase C: 网络连接
class,com.corrodinggames.rts.platform.net,i,NetListener,Phase C: 网络事件监听器
class,com.corrodinggames.rts.platform.net,j,NetConfig,Phase C: 网络配置
class,com.corrodinggames.rts.game.units.custom,x,CustomPhysics,Phase C: 自定义单位物理
class,com.corrodinggames.rts.game.units.custom,y,CustomSounds,v19.107: 仅限FQN引用(custom.y音效类); 短名y在import units.y的文件中是MobileUnit层(03宿主UnitType.java)
class,com.corrodinggames.rts.game.units.custom,z,CustomVisuals,Phase C: 自定义单位视觉
class,com.corrodinggames.rts.game.units.custom.actions,f,ActionRegistry,Phase C: 动作注册表
class,com.corrodinggames.rts.game.units.custom.actions,g,ActionFactory,Phase C: 动作工厂
class,com.corrodinggames.rts.game.units.custom.conditions,f,ConditionEvaluator,Phase C: 条件求值器
class,com.corrodinggames.rts.game.units.custom.effects,f,EffectRenderer,Phase C: 效果渲染器
class,com.corrodinggames.rts.game.units.custom.effects.config,f,EffectConfigLoader,Phase C: 效果配置加载器
class,com.corrodinggames.rts.game.units.custom.resources,c,ResourceStorage,Phase C: 资源存储器
class,com.corrodinggames.rts.game.units.custom.resources,d,ResourceFlow,Phase C: 资源流动控制器
class,com.corrodinggames.rts.game.units.custom.config,f,UnitConfigLoader,Phase C: 单位配置加载器
class,com.corrodinggames.rts.game.units.custom.b,c,AnimationCurve,Main animation curve (33KB)
class,com.corrodinggames.rts.game.units.custom.b,m,AnimationTurretCurve,Turret animation curve (15KB)
class,com.corrodinggames.rts.game.units.custom.b,h,AnimationMovementCurve,Movement animation curve (11KB)
class,com.corrodinggames.rts.game.units.custom.b,d,AnimationResourceCurve,Resource animation curve (7KB)
class,com.corrodinggames.rts.game.units.custom.b,f,AnimationActivationCurve,Activation animation curve (7KB)
class,com.corrodinggames.rts.game.units.custom.b,g,AnimationVisibilityCurve,Visibility animation curve (6KB)
class,com.corrodinggames.rts.game.units.custom.e,f,EffectManager,Custom unit effects list manager (16KB)
class,com.corrodinggames.rts.game.units.custom.e,d,EffectConfig,Effect configuration definition (7KB)
class,com.corrodinggames.rts.game.units.custom.e,c,EffectRenderer,Effect rendering handler (6KB)
class,com.corrodinggames.rts.game.units.custom.a.a,b,CustomWeaponAction,Weapon-specific custom action (13KB)
class,com.corrodinggames.rts.game.units.custom.a.a,m,CustomSpawnAction,Spawn custom action (10KB)
class,com.corrodinggames.rts.game.units.custom.a.a,j,CustomTransportAction,Transport custom action (8KB)
class,com.corrodinggames.rts.game.units.custom.a.a,h,CustomRepairAction,Repair custom action (7KB)
class,com.corrodinggames.rts.game.units.custom.l,ModUnitRegistry,ModUnitRegistry,v18.3: Mod单位注册表 (734条映射)
class,com.corrodinggames.rts.game.units.am,UnitInstance,UnitInstance,v18.3: 单位实例 (323条映射)
class,com.corrodinggames.rts.game.units.y,BaseUnit,BaseUnit,v18.3: 单位类型基类 (309条映射)
class,com.corrodinggames.rts.game.n,PlayerState,PlayerState,v18.3: 玩家状态 (308条映射)
class,com.corrodinggames.rts.gameFramework.l,GlobalState,GlobalState,v18.3: 全局游戏引擎 (299条映射)
class,com.corrodinggames.rts.game.units.custom.j,CustomUnitType,CustomUnitType,v18.3: 自定义单位类型 (287条映射)
class,com.corrodinggames.rts.gameFramework.j.ad,NetEngine,NetEngine,v18.3: 网络引擎 (219条映射)
class,com.corrodinggames.rts.game.f,MovementController,MovementController,v18.3: 移动/物理控制器 (140条映射)
class,com.corrodinggames.rts.gameFramework.SettingsEngine,SettingsEngine,SettingsEngine,v18.3: 游戏设置引擎 (139条映射)
class,com.corrodinggames.rts.game.units.custom.bn,ModUnitLoader,ModUnitLoader,v18.3: Mod单位加载器 (110条映射)
class,com.corrodinggames.rts.game.a.a,AIStrategy,AIStrategy,v18.3: AI策略抽象基类 (110条映射)
class,com.corrodinggames.rts.game.b.b,TileEntry,TileEntry,v18.3: 地图瓦片条目 (90条映射)
class,com.corrodinggames.rts.game.units.ar,ResourceUnit,ResourceUnit,v18.3: 资源单位 (84条映射)
class,com.corrodinggames.rts.game.a.g,CombatAction,CombatAction,v18.3: 战斗动作 (79条映射)
class,com.corrodinggames.rts.game.a.i,CombatMain,CombatMain,v18.3: 战斗主控 (68条映射)
class,com.corrodinggames.rts.game.units.custom.ba,TraitValueBuilder,TraitValueBuilder,v18.3: 特性值构建器 (60条映射)
class,com.corrodinggames.rts.game.units.h,Factory,Factory,v18.3: 工厂/建造单位 (57条映射)
class,com.corrodinggames.rts.game.units.d.d,BuildSlot,BuildSlot,v18.3: 建造槽位 (54条映射)
class,com.corrodinggames.rts.gameFramework.f,GameRenderer,GameRenderer,v19.112c 疑误标: f=GameUtils (127方法 javap 1:1 铁证); 03 GameRenderer import ConnectionState — 02 真名待查
class,com.corrodinggames.rts.game.units.custom.e.a,LogicBoolean,LogicBoolean,v18.3: 逻辑布尔运算 (51条映射)
class,com.corrodinggames.rts.game.units.d.e,CommandCenter,CommandCenter,v18.3: 指挥中心 (47条映射)
class,com.corrodinggames.rts.game.units.custom.b.n,UnitTrait,UnitTrait,v18.3: 单位特性 (46条映射)
class,com.corrodinggames.rts.game.GameSettings,GameSettings,GameSettings,v18.3: 游戏设置 (37条映射)
class,com.corrodinggames.rts.gameFramework.e,Command,Command,v18.3: 指令基类 (35条映射)
