jar_fqn,reason
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasParent,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasResourcesBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasTakenDamage,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HeightBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HeightValueBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HpBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$InMapBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsAttackingBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsControlledByAI,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsGameFrameBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsOnTeam,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsResourceLargerThan,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsReversingBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$KillsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$LastConvertedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MaxEnergyBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MaxHpBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MaxMoveSpeedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MaxShieldBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MovingBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfAttachedUnitsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfConnectionsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfQueuedWaypoints,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfUnitsInEnemyOrAllyTeam,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfUnitsInEnemyOrAllyTeam$HandleCallbackCountAlly,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfUnitsInEnemyOrAllyTeam$HandleCallbackCountEnemies,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfUnitsInTeam,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$NumberOfUnitsInTeam$HandleCallbackCount,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$OverCliftBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$OverLiquidBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$OverPassableTileBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$OverWaterBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$PositionXBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$PositionYBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$PriceCreditsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$QueueSize,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$ResourceCountBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$ResourceScope,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$RotationBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$ShieldBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$SpeedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$SpeedValueBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TagsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TeamDefeatedTechBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TeamIdBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TeamTagBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TeamVictoryBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TeamWipedOutBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$ThisActionRepeatedCount,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TimeAliveBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TouchWaterBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TransportingCountBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$TransportingUnitWithTagsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$UnitIdBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$isDead,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$isEnergyRechargingBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$isTransportUnloading,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader$ArrayContains,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader$ArrayFunction,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader$ArrayGet,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader$ArrayGetUnit,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ArrayContextReader$ArraySize,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$DefaultContextReader,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$LogicBooleanContext,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$LogicBooleanContextWithDefault,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$LogicBooleanScopeOnly,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ParameterMapping,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$ParameterMapping$FieldOrMethod,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanLoader$VoidContextReader,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$CreateMarker,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionCos,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDirection,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDirectionBetween,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDistance,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDistanceBetween,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDistanceBetweenSquared,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionDistanceSquared,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionInt,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionLength,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionMax,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionMin,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionRnd,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionSin,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$FunctionSquareRoot,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicNumberFunction$LogicNumberFunctionRawArgs,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$Debug,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$DebugPassthrough,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$LowerString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$Playername,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$Select,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$StaticString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$StringCast,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$StringCast$NumberToStringCast,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$Substring,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$TeamName,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$UpperString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicString$WrappingLogicString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$ActiveWaypointTargetReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$AttachmentUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$AttackingReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$ChainedUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$EventSourceReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$FirstUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$GetAsMarker,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$GetOffsetAbsolute,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$GetOffsetRelative,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$GetOffsetRelativeStatic,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$LastDamagedByUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$LockedUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$Memory1UnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$Memory2UnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$NearestUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$NearestUnitReference$HandleCallbackNearest,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$NullUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$ParentUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$PlaceholderUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$SelfUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$ThisActionTargetReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$TransportingUnitReference,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$UnitContextChangingBooleanByLogic,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$UnitContextChangingContext,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.UnitReference$UnitReferenceOrUnitType,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$AbstractMemoryLogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$CachedWriter,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$CachedWriter$Operator,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$CachedWriter$WriterElement,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$CachedWriter$WriterFactory,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$EmptyVariableScope,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$KnownMemoryReadLogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$KnownMemoryScopeLogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$MemoryNames,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$MemoryWriter,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$MemoryWriterFactory,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$MemoryWriterFactory$MemoryWriterElement,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$MemoryWriterFactory$MemoryWriterElementIndex,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$ReadEventMemoryLogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$ReadUnitMemoryLogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableData,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataArray,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataBoolArray,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataNull,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataNumber,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataNumberArray,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataString,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataUnit,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDataUnitArray,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableDefinition,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableMapping,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.VariableScope$VariableName,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d.a.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d.a.e,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d.a.f,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d.a.g,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.d.a.h,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.f.c,fwd=com.corrodinggames.rts.game.units.pathfinding.UnitGeoIndex 但 03 无对应文件
com.corrodinggames.rts.game.units.g.b$1,fwd=com.corrodinggames.rts.game.units.weapons.ComponentType$1 但 03 无对应文件
com.corrodinggames.rts.game.units.g.b$2,fwd=com.corrodinggames.rts.game.units.weapons.ComponentType$2 但 03 无对应文件
com.corrodinggames.rts.game.units.n$1,fwd=com.corrodinggames.rts.game.units.UnitCategory$1 但 03 无对应文件
com.corrodinggames.rts.game.units.n$2,fwd=com.corrodinggames.rts.game.units.UnitCategory$2 但 03 无对应文件
com.corrodinggames.rts.game.units.n$3,fwd=com.corrodinggames.rts.game.units.UnitCategory$3 但 03 无对应文件
com.corrodinggames.rts.game.units.n$4,fwd=com.corrodinggames.rts.game.units.UnitCategory$4 但 03 无对应文件
com.corrodinggames.rts.game.units.n$5,fwd=com.corrodinggames.rts.game.units.UnitCategory$5 但 03 无对应文件
com.corrodinggames.rts.game.units.n$6,fwd=com.corrodinggames.rts.game.units.UnitCategory$6 但 03 无对应文件
com.corrodinggames.rts.game.units.o$1,fwd=com.corrodinggames.rts.game.units.UnitBehaviorEnum$1 但 03 无对应文件
com.corrodinggames.rts.game.units.o$2,fwd=com.corrodinggames.rts.game.units.UnitBehaviorEnum$2 但 03 无对应文件
com.corrodinggames.rts.game.units.o$3,fwd=com.corrodinggames.rts.game.units.UnitBehaviorEnum$3 但 03 无对应文件
com.corrodinggames.rts.game.units.o$4,fwd=com.corrodinggames.rts.game.units.UnitBehaviorEnum$4 但 03 无对应文件
com.corrodinggames.rts.game.units.o$5,fwd=com.corrodinggames.rts.game.units.UnitBehaviorEnum$5 但 03 无对应文件
com.corrodinggames.rts.game.units.r$1,fwd=com.corrodinggames.rts.game.units.UnitActionEnum$1 但 03 无对应文件
com.corrodinggames.rts.game.units.r$2,fwd=com.corrodinggames.rts.game.units.UnitActionEnum$2 但 03 无对应文件
com.corrodinggames.rts.game.units.r$3,fwd=com.corrodinggames.rts.game.units.UnitActionEnum$3 但 03 无对应文件
com.corrodinggames.rts.game.units.r$4,fwd=com.corrodinggames.rts.game.units.UnitActionEnum$4 但 03 无对应文件
com.corrodinggames.rts.game.units.y,fwd=com.corrodinggames.rts.game.units.MobileUnit 但 03 无对应文件
com.corrodinggames.rts.gameFramework.aa,fwd=com.corrodinggames.rts.gameFramework.GroupController 但 03 无对应文件
com.corrodinggames.rts.gameFramework.ac,fwd=com.corrodinggames.rts.gameFramework.KeyBindings 但 03 无对应文件
com.corrodinggames.rts.gameFramework.am$1,fwd=com.corrodinggames.rts.gameFramework.GameRenderer$1 但 03 无对应文件
com.corrodinggames.rts.gameFramework.am$2,fwd=com.corrodinggames.rts.gameFramework.GameRenderer$2 但 03 无对应文件
com.corrodinggames.rts.gameFramework.at$1,fwd=com.corrodinggames.rts.gameFramework.MusicFolder$1 但 03 无对应文件
com.corrodinggames.rts.gameFramework.at$2,fwd=com.corrodinggames.rts.gameFramework.MusicFolder$2 但 03 无对应文件
com.corrodinggames.rts.gameFramework.at$3,fwd=com.corrodinggames.rts.gameFramework.MusicFolder$3 但 03 无对应文件
com.corrodinggames.rts.gameFramework.av,fwd=com.corrodinggames.rts.gameFramework.NullMusicPlayer 但 03 无对应文件
com.corrodinggames.rts.gameFramework.b.a.a,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.a.c,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.a.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.a.g,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.ab,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.ac,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.ag,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.f,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.f$1,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.b.k,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.bg,fwd=com.corrodinggames.rts.gameFramework.StatsHandler 但 03 无对应文件
com.corrodinggames.rts.gameFramework.bs$1,fwd=com.corrodinggames.rts.gameFramework.GamePhase$1 但 03 无对应文件
com.corrodinggames.rts.gameFramework.bs$2,fwd=com.corrodinggames.rts.gameFramework.GamePhase$2 但 03 无对应文件
com.corrodinggames.rts.gameFramework.bs$3,fwd=com.corrodinggames.rts.gameFramework.GamePhase$3 但 03 无对应文件
com.corrodinggames.rts.gameFramework.bs$4,fwd=com.corrodinggames.rts.gameFramework.GamePhase$4 但 03 无对应文件
com.corrodinggames.rts.gameFramework.d.c,fwd=com.corrodinggames.rts.gameFramework.effects.EffectEngine 但 03 无对应文件
com.corrodinggames.rts.gameFramework.d.d,fwd=com.corrodinggames.rts.gameFramework.effects.HUDAnchor 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f$a,fwd=com.corrodinggames.rts.gameFramework.GameRenderer$a 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.b,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Button 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.c,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Position 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.d,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Enum 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.e,fwd=com.corrodinggames.rts.gameFramework.ui.panels.ImageButton 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.f,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Panel 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.f$1,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.f.a.g,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Panel2 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.i,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Enum2 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.a.m,fwd=com.corrodinggames.rts.gameFramework.ui.panels.Enum3 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.ac,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.gameFramework.f.af,fwd=com.corrodinggames.rts.gameFramework.ui.TextItemBase 但 03 无对应文件
com.corrodinggames.rts.gameFramework.f.ak,fwd=com.corrodinggames.rts.gameFramework.ui.LayoutRow 但 03 无对应文件
