evidence_type,string,host_class,02_location,note
phase-string,loadAMenuMap took:22.903ms,,,
phase-string,loadAMenuMap took:23.478ms,,,
phase-string,loadAMenuMap took:23.496ms,,,
phase-string,loadAMenuMap took:23.596ms,,,
phase-string,loadAMenuMap took:23.685ms,,,
phase-string,loadAMenuMap took:79.272ms,,,
phase-string,loadAMenuMap took:82.856ms,,,
phase-string,loadAMenuMap took:89.398ms,,,
phase-string,loadAllUnits took:171.124ms,,,
phase-string,loadAllUnits took:171.515ms,,,
phase-string,loadAllUnits took:172.823ms,,,
phase-string,loadAllUnits took:173.722ms,,,
phase-string,loadAllUnits took:175.272ms,,,
phase-string,loadAllUnits took:176.870ms,,,
phase-string,loadAllUnits took:178.527ms,,,
phase-string,loadAllUnits took:180.334ms,,,
phase-string,loadAllUnits took:182.594ms,,,
phase-string,loadAllUnits took:182.744ms,,,
phase-string,loadAllUnits took:189.190ms,,,
phase-string,loadAllUnits took:191.771ms,,,
phase-string,loadAllUnits took:228.044ms,,,
phase-string,loadFromFileSystem filepath: C:\Users\28210\Downloads\Rusted Warfare\rw源码逆向\RustedWarfare\preferences.ini,,,
phase-string,loadGlyphs,,,
phase-string,loadSelection: Did not find mod in settings:05(1).rwmod...,,,
phase-string,loadSelection: Did not find mod in settings:5-DLC废土萌芽智械篇内测版9.1.7.1(1).rwmod...,,,
phase-string,loadSelection: Did not find mod in settings:sw1539930450,,,
phase-string,loadSelection: Did not find mod in settings:sw1878960341,,,
phase-string,loadSelection: Did not find mod in settings:sw2314057479,,,
phase-string,loadSelection: Did not find mod in settings:sw2529547065,,,
phase-string,loadSelection: Did not find mod in settings:sw2583425587,,,
phase-string,loadSelection: Did not find mod in settings:sw3058511896,,,
phase-string,loadSelection: Did not find mod in settings:升级模组6.7.rwmod,,,
phase-string,loading mod custom units at:/SD/mods/units,,,
phase-string,loading mod custom units at:builtin_mods,,,
phase-string,loading mod custom units at:builtin_mods_enabled,,,
phase-string,longest+layerBufferSize+1:1038,,,
phase-string,longest:13,,,
phase-string,map:setupLayerBuffers for size:13,,,
phase-string,"missingPlaceHolder is not an active unit, searching for new target",com.corrodinggames.rts.game.units.custom.ag,,
phase-string,onGameCrash: Not showing popup message due to active debugSocket,,,
phase-string,onGameCrash: end,,,
phase-string,openALAudio hasDevice:false,,,
phase-string,openAssetCached: Cache hit (null-type) for: builtin_mods/mega_builders/mod-info.txt (0!=0),,,
phase-string,openAssetCached: Cache hit for: /SD/mods/units/dynProbeMod/mod-info.txt,,,
phase-string,openAssetCached: Cache hit for: builtin_mods/mega_builders/mod-info.txt,,,
phase-string,openAssetCached: Cache miss for: /SD/mods/units/dynProbeMod/mod-info.txt,,,
phase-string,openAssetCached: Cache miss for: builtin_mods/mega_builders/mod-info.txt,,,
phase-string,openAssetCached: Got null for: builtin_mods/mega_builders/mod-info.txt,,,
phase-string,openAssetCached: Reading: /SD/mods/units/dynProbeMod/mod-info.txt,,,
phase-string,openAssetCached: Reading: builtin_mods/mega_builders/mod-info.txt,,,
phase-string,openAssetCached: Stale timestamp for: /SD/mods/units/dynProbeMod/mod-info.txt (1786869159632!=1786869291695),,,
phase-string,openAssetCached: Stale timestamp for: builtin_mods/mega_builders/mod-info.txt (0!=1786869159581),,,
phase-string,org.newdawn.slick.AppGameContainer.start(AppGameContainer.java:321),,,
phase-string,out of range,,,
phase-string,packageName:dedicatedServer,,,
phase-string,"preferences not found, not loading (preferences.ini)",,,
phase-string,screenHeight:800.0,,,
phase-string,screenWidth:600.0,,,
phase-string,slick queuing-alert:Could not find key:DYNPROBEMOD|ECBC2BA52A56E38E72018AD74B261ACA9023854BDC61787D8CE755B7D5082CA8|ENAB,,,
phase-string,slick queuing-alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu1.tmx,,,
phase-string,slick queuing-alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu2.tmx,,,
phase-string,slick queuing-alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu3.tmx,,,
phase-string,"slick queuing-alert:Error loading map: Could not find unit type of:modularSpider at x:906.0, y:2186.0",,,
phase-string,"slick queuing-alert:Error loading map: Could not find unit:combatEngineer at: 47,43",,,
phase-string,"slick queuing-alert:Error loading map: Could not find unit:experimentalSpider at: 127,74",,,
phase-string,slick queuing-alert:Error loading map: Unable to load or parse sourced tileset: tilesets/terrain/Long Grass.tsx,,,
phase-string,"slick queuing-alert:Missing unit data while loading map: Could not find unit:combatEngineer at: 47,43",,,
phase-string,"slick queuing-alert:Missing unit data while loading map: Could not find unit:experimentalSpider at: 127,74",,,
phase-string,slick queuing-alert:Unable to load or parse sourced tileset: tilesets/terrain/Long Grass.tsx,,,
phase-string,"slickToAndroidCodes: Could not find keycode for: NUMLOCK, RWIN, CONVERT, STOP, AX, UNDERLINE, DELETE, NOCONVERT, APPS, D",,,
phase-string,smallTextPaint size: 12.0,,,
phase-string,smoothFog load took:26.463ms,,,
phase-string,smoothFog load took:27.055ms,,,
phase-string,smoothFog load took:27.234ms,,,
phase-string,smoothFog load took:27.829ms,,,
phase-string,smoothFog load took:28.031ms,,,
phase-string,smoothFog load took:28.261ms,,,
phase-string,smoothFog load took:28.489ms,,,
phase-string,smoothFog load took:28.497ms,,,
phase-string,smoothFog load took:28.500ms,,,
phase-string,smoothFog load took:28.607ms,,,
phase-string,smoothFog load took:29.274ms,,,
phase-string,smoothFog load took:29.586ms,,,
phase-string,smoothFog load took:29.843ms,,,
phase-string,soundLoad: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,soundLoadOrGet: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,start libRocket setup,,,
phase-string,startErrorReport:ErrorReport requested,,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:10 numLoadsSinceRunningGameOrNormalExit:10",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:11 numLoadsSinceRunningGameOrNormalExit:11",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:2 numLoadsSinceRunningGameOrNormalExit:2",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:3 numLoadsSinceRunningGameOrNormalExit:3",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:4 numLoadsSinceRunningGameOrNormalExit:4",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:5 numLoadsSinceRunningGameOrNormalExit:5",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:6 numLoadsSinceRunningGameOrNormalExit:6",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:7 numLoadsSinceRunningGameOrNormalExit:7",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:8 numLoadsSinceRunningGameOrNormalExit:8",,,
phase-string,"starting game in safe mode, numIncompleteLoadAttempts:9 numLoadsSinceRunningGameOrNormalExit:9",,,
phase-string,steam not requested,,,
phase-string,uncaughtException start,,,
phase-string,unitParse: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,unitParsePartA: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,unitParsePartB: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,unitParsePartC: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,unitParsePartD: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,version: 1.15 176:#28,,,
stack-frame,com.corrodinggames.librocket.a.b,,02:com/corrodinggames/librocket/a.java:62 (存在),
stack-frame,com.corrodinggames.librocket.a.b,,02:com/corrodinggames/librocket/a.java:69 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.a,,02:com/corrodinggames/rts/game/b/b.java:1896 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.a,,02:com/corrodinggames/rts/game/b/b.java:1902 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.a,,02:com/corrodinggames/rts/game/b/b.java:2145 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.a,,02:com/corrodinggames/rts/game/b/b.java:2172 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.a,,02:com/corrodinggames/rts/game/b/b.java:2252 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.c,,02:com/corrodinggames/rts/game/b/b.java:1113 (存在),
stack-frame,com.corrodinggames.rts.game.b.b.d,,02:com/corrodinggames/rts/game/b/b.java:6250 (存在),
stack-frame,com.corrodinggames.rts.game.b.e.a,,02:com/corrodinggames/rts/game/b/e.java:1275 (存在),
stack-frame,com.corrodinggames.rts.game.b.g.a,,02:com/corrodinggames/rts/game/b/g.java:266 (存在),
stack-frame,com.corrodinggames.rts.game.b.j.a,,02:com/corrodinggames/rts/game/b/j.java:148 (存在),
stack-frame,com.corrodinggames.rts.game.b.j.a,,02:com/corrodinggames/rts/game/b/j.java:165 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:518 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:621 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:959 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:983 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:1081 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:1251 (存在),
stack-frame,com.corrodinggames.rts.game.i.a,,02:com/corrodinggames/rts/game/i.java:5122 (存在),
stack-frame,com.corrodinggames.rts.game.i.x,,02:com/corrodinggames/rts/game/i.java:5228 (存在),
stack-frame,com.corrodinggames.rts.game.units.am.cK,,02:com/corrodinggames/rts/game/units/am.java:3799 (存在),
stack-frame,com.corrodinggames.rts.game.units.ar.s,,02:com/corrodinggames/rts/game/units/ar.java:2939 (存在),
stack-frame,com.corrodinggames.rts.game.units.e.b.z,,02:com/corrodinggames/rts/game/units/e/b.java:458 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.SettingsEngine.getInstance,,02:com/corrodinggames/rts/gameFramework/SettingsEngine.java:324 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.SettingsEngine.loadFromFileSystem,,02:com/corrodinggames/rts/gameFramework/SettingsEngine.java:612 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.ac.a,,02:com/corrodinggames/rts/gameFramework/ac.java:1251 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.ac.d,,02:com/corrodinggames/rts/gameFramework/ac.java:1479 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.ad.a,,02:com/corrodinggames/rts/gameFramework/ad.java:738 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.ad.a,,02:com/corrodinggames/rts/gameFramework/ad.java:782 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.h.a.a,,02:com/corrodinggames/rts/gameFramework/h/a.java:59 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.h.a.a,,02:com/corrodinggames/rts/gameFramework/h/a.java:245 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.h.a.e,,02:com/corrodinggames/rts/gameFramework/h/a.java:490 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.l.a,,02:com/corrodinggames/rts/gameFramework/l.java:597 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.utility.SlickToAndroidKeycodes.a,,02:com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes.java:1629 (存在),
stack-frame,com.corrodinggames.rts.gameFramework.utility.y.d,,02:com/corrodinggames/rts/gameFramework/utility/y.java:548 (存在),
stack-frame,com.corrodinggames.rts.java.Main.h,,02:com/corrodinggames/rts/java/Main.java:1380 (存在),
stack-frame,com.corrodinggames.rts.java.Main.h,,02:com/corrodinggames/rts/java/Main.java:1394 (存在),
stack-frame,com.corrodinggames.rts.java.b.gameLoop,,02:com/corrodinggames/rts/java/b.java:146 (存在),
stack-frame,com.corrodinggames.rts.java.b.updateAndRender,,02:com/corrodinggames/rts/java/b.java:255 (存在),
stack-frame,com.corrodinggames.rts.java.j.run,,02:com/corrodinggames/rts/java/j.java:1464 (存在),
stack-frame,com.corrodinggames.rts.java.u.b,,02:com/corrodinggames/rts/java/u.java:286 (存在),
stack-frame,com.corrodinggames.rts.java.u.c,,02:com/corrodinggames/rts/java/u.java:302 (存在),
stack-frame,com.corrodinggames.rts.java.u.render,,02:com/corrodinggames/rts/java/u.java:1382 (存在),
unit-key,AntiNukeLaucher,,,运行时单位注册表键
unit-key,NukeLaucher,,,运行时单位注册表键
unit-key,airFactory,,,运行时单位注册表键
unit-key,airShip,,,运行时单位注册表键
unit-key,amphibiousJet,,,运行时单位注册表键
unit-key,antiAirTurret,,,运行时单位注册表键
unit-key,antiAirTurretT2,,,运行时单位注册表键
unit-key,artillery,,,运行时单位注册表键
unit-key,attackSubmarine,,,运行时单位注册表键
unit-key,battleShip,,,运行时单位注册表键
unit-key,builder,,,运行时单位注册表键
unit-key,builderShip,,,运行时单位注册表键
unit-key,commandCenter,,,运行时单位注册表键
unit-key,damagingBorder,,,运行时单位注册表键
unit-key,dropship,,,运行时单位注册表键
unit-key,experimentalHoverTank,,,运行时单位注册表键
unit-key,experimentalLandFactory,,,运行时单位注册表键
unit-key,experimentalTank,,,运行时单位注册表键
unit-key,extractor,,,运行时单位注册表键
unit-key,fabricator,,,运行时单位注册表键
unit-key,gunBoat,,,运行时单位注册表键
unit-key,gunShip,,,运行时单位注册表键
unit-key,heavyHoverTank,,,运行时单位注册表键
unit-key,heavyTank,,,运行时单位注册表键
unit-key,helicopter,,,运行时单位注册表键
unit-key,hoverTank,,,运行时单位注册表键
unit-key,hovercraft,,,运行时单位注册表键
unit-key,landFactory,,,运行时单位注册表键
unit-key,laserDefence,,,运行时单位注册表键
unit-key,laserTank,,,运行时单位注册表键
unit-key,mammothTank,,,运行时单位注册表键
unit-key,marker,,,运行时单位注册表键
unit-key,missileShip,,,运行时单位注册表键
unit-key,repairbay,,,运行时单位注册表键
unit-key,seaFactory,,,运行时单位注册表键
unit-key,tank,,,运行时单位注册表键
unit-key,turret,,,运行时单位注册表键
unit-key,turretT2,,,运行时单位注册表键
unit-key,turretT3,,,运行时单位注册表键
unit-key,turret_artillery,,,运行时单位注册表键
unit-key,turret_flamethrower,,,运行时单位注册表键
unit-key,zoneMarker,,,运行时单位注册表键
