jar_fqn,status,file_03
com.corrodinggames.rts.game.units.custom.ah,obf-hit,com/corrodinggames/rts/game/units/custom/ah.java
com.corrodinggames.rts.game.units.custom.ai,obf-hit,com/corrodinggames/rts/game/units/custom/ai.java
com.corrodinggames.rts.game.units.custom.aj,obf-hit,com/corrodinggames/rts/game/units/custom/aj.java
com.corrodinggames.rts.game.units.custom.ak,obf-hit,com/corrodinggames/rts/game/units/custom/ak.java
com.corrodinggames.rts.game.units.custom.al,obf-hit,com/corrodinggames/rts/game/units/custom/al.java
com.corrodinggames.rts.game.units.custom.am,obf-hit,com/corrodinggames/rts/game/units/custom/am.java
com.corrodinggames.rts.game.units.custom.an,obf-hit,com/corrodinggames/rts/game/units/custom/an.java
com.corrodinggames.rts.game.units.custom.ao,obf-hit,com/corrodinggames/rts/game/units/custom/ao.java
com.corrodinggames.rts.game.units.custom.ap,obf-hit,com/corrodinggames/rts/game/units/custom/ap.java
com.corrodinggames.rts.game.units.custom.aq,obf-hit,com/corrodinggames/rts/game/units/custom/aq.java
com.corrodinggames.rts.game.units.custom.ar,obf-hit,com/corrodinggames/rts/game/units/custom/ar.java
com.corrodinggames.rts.game.units.custom.as,semantic-hit,com/corrodinggames/rts/game/units/custom/WeaponConfig.java
com.corrodinggames.rts.game.units.custom.as$1,semantic-inner,com/corrodinggames/rts/appFramework/WeaponConfig$1.java
com.corrodinggames.rts.game.units.custom.as$10,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$10.java
com.corrodinggames.rts.game.units.custom.as$11,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$11.java
com.corrodinggames.rts.game.units.custom.as$12,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$12.java
com.corrodinggames.rts.game.units.custom.as$13,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$13.java
com.corrodinggames.rts.game.units.custom.as$14,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$14.java
com.corrodinggames.rts.game.units.custom.as$15,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$15.java
com.corrodinggames.rts.game.units.custom.as$16,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$16.java
com.corrodinggames.rts.game.units.custom.as$17,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$17.java
com.corrodinggames.rts.game.units.custom.as$18,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$18.java
com.corrodinggames.rts.game.units.custom.as$19,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$19.java
com.corrodinggames.rts.game.units.custom.as$2,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$2.java
com.corrodinggames.rts.game.units.custom.as$3,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$3.java
com.corrodinggames.rts.game.units.custom.as$4,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$4.java
com.corrodinggames.rts.game.units.custom.as$5,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$5.java
com.corrodinggames.rts.game.units.custom.as$6,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$6.java
com.corrodinggames.rts.game.units.custom.as$7,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$7.java
com.corrodinggames.rts.game.units.custom.as$8,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$8.java
com.corrodinggames.rts.game.units.custom.as$9,semantic-inner,com/corrodinggames/rts/game/units/custom/WeaponConfig$9.java
com.corrodinggames.rts.game.units.custom.at,obf-hit,com/corrodinggames/rts/game/units/at.java
com.corrodinggames.rts.game.units.custom.au,semantic-hit,com/corrodinggames/rts/game/units/custom/logicBooleans/VariableScope$MemoryWriterFactory.java
com.corrodinggames.rts.game.units.custom.av,obf-hit,com/corrodinggames/rts/game/units/custom/av.java
com.corrodinggames.rts.game.units.custom.aw,obf-hit,com/corrodinggames/rts/game/units/custom/aw.java
com.corrodinggames.rts.game.units.custom.ax,obf-hit,com/corrodinggames/rts/game/units/custom/ax.java
com.corrodinggames.rts.game.units.custom.ay,obf-hit,com/corrodinggames/rts/game/units/custom/ay.java
com.corrodinggames.rts.game.units.custom.az,obf-hit,com/corrodinggames/rts/game/units/custom/az.java
com.corrodinggames.rts.game.units.custom.b,semantic-hit,com/corrodinggames/rts/game/units/custom/KeyframePoint.java
com.corrodinggames.rts.game.units.custom.b.a,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationCurveBase.java
com.corrodinggames.rts.game.units.custom.b.b,obf-hit,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.units.custom.b.c,semantic-hit,com/corrodinggames/rts/game/units/custom/AnimationCurve.java
com.corrodinggames.rts.game.units.custom.b.d,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationResourceCurve.java
com.corrodinggames.rts.game.units.custom.b.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.rts.game.units.custom.b.f,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationActivationCurve.java
com.corrodinggames.rts.game.units.custom.b.g,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationVisibilityCurve.java
com.corrodinggames.rts.game.units.custom.b.h,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationMovementCurve.java
com.corrodinggames.rts.game.units.custom.b.i,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/i.java
com.corrodinggames.rts.game.units.custom.b.j,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/j.java
com.corrodinggames.rts.game.units.custom.b.k,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/k.java
com.corrodinggames.rts.game.units.custom.b.l,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/l.java
com.corrodinggames.rts.game.units.custom.b.m,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/AnimationTurretCurve.java
com.corrodinggames.rts.game.units.custom.b.n,semantic-hit,com/corrodinggames/rts/game/units/custom/animation/UnitTrait.java
com.corrodinggames.rts.game.units.custom.ba,semantic-hit,com/corrodinggames/rts/game/units/custom/TraitValueBuilder.java
com.corrodinggames.rts.game.units.custom.bb,semantic-hit,com/corrodinggames/rts/game/units/custom/LocalizedString.java
com.corrodinggames.rts.game.units.custom.bc,obf-hit,com/corrodinggames/rts/game/units/custom/bc.java
com.corrodinggames.rts.game.units.custom.bd,obf-hit,com/corrodinggames/rts/game/units/custom/bd.java
com.corrodinggames.rts.game.units.custom.be,obf-hit,com/corrodinggames/rts/game/units/custom/be.java
com.corrodinggames.rts.game.units.custom.bf,obf-hit,com/corrodinggames/rts/game/units/custom/bf.java
com.corrodinggames.rts.game.units.custom.bg,obf-hit,com/corrodinggames/rts/game/units/custom/bg.java
com.corrodinggames.rts.game.units.custom.bh,obf-hit,com/corrodinggames/rts/game/units/custom/bh.java
com.corrodinggames.rts.game.units.custom.bi,obf-hit,com/corrodinggames/rts/game/units/custom/bi.java
com.corrodinggames.rts.game.units.custom.bj,obf-hit,com/corrodinggames/rts/game/units/custom/bj.java
com.corrodinggames.rts.game.units.custom.bk,obf-hit,com/corrodinggames/rts/game/units/custom/bk.java
com.corrodinggames.rts.game.units.custom.bl,obf-hit,com/corrodinggames/rts/game/units/custom/bl.java
com.corrodinggames.rts.game.units.custom.bm,obf-hit,com/corrodinggames/rts/game/units/custom/bm.java
com.corrodinggames.rts.game.units.custom.bn,semantic-hit,com/corrodinggames/rts/game/units/custom/ModUnitLoader.java
com.corrodinggames.rts.game.units.custom.bo,obf-hit,com/corrodinggames/rts/game/units/custom/bo.java
com.corrodinggames.rts.game.units.custom.bp,obf-hit,com/corrodinggames/rts/game/units/custom/bp.java
com.corrodinggames.rts.game.units.custom.bq,obf-hit,com/corrodinggames/rts/game/units/custom/bq.java
com.corrodinggames.rts.game.units.custom.c,semantic-hit,com/corrodinggames/rts/game/units/custom/AnimationCurve.java
com.corrodinggames.rts.game.units.custom.c.a,obf-hit,com/a/a/a/a.java
com.corrodinggames.rts.game.units.custom.c.b,semantic-hit,com/corrodinggames/rts/game/units/custom/conditions/ConditionEffectBase.java
com.corrodinggames.rts.game.units.custom.c.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.units.custom.c.d,obf-hit,com/corrodinggames/rts/game/units/commands/slots/d.java
com.corrodinggames.rts.game.units.custom.c.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.rts.game.units.custom.c.f,obf-hit,com/corrodinggames/rts/game/units/commands/slots/f.java
com.corrodinggames.rts.game.units.custom.d,semantic-hit,com/corrodinggames/rts/game/units/custom/CurveType.java
com.corrodinggames.rts.game.units.custom.d.a,semantic-hit,com/corrodinggames/rts/game/units/custom/resources/CommandSlotBase.java
com.corrodinggames.rts.game.units.custom.d.b,semantic-hit,com/corrodinggames/rts/game/units/custom/resources/ResourceComponent.java
com.corrodinggames.rts.game.units.custom.d.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.units.custom.d.d,obf-hit,com/corrodinggames/rts/game/units/commands/slots/d.java
com.corrodinggames.rts.game.units.custom.e,semantic-hit,com/corrodinggames/rts/game/units/custom/ParameterAnimator.java
com.corrodinggames.rts.game.units.custom.e.a,semantic-hit,com/corrodinggames/rts/game/units/custom/effects/LogicBoolean.java
com.corrodinggames.rts.game.units.custom.e.a.a,semantic-hit,com/corrodinggames/rts/game/units/custom/effects/config/ResourceConfigBase.java
com.corrodinggames.rts.game.units.custom.e.a.b,obf-hit,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.units.custom.e.a.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.units.custom.e.a.d,obf-hit,com/corrodinggames/rts/game/units/commands/slots/d.java
com.corrodinggames.rts.game.units.custom.e.a.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.rts.game.units.custom.e.a.f,obf-hit,com/corrodinggames/rts/game/units/commands/slots/f.java
com.corrodinggames.rts.game.units.custom.e.b,obf-hit,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.units.custom.e.c,semantic-hit,com/corrodinggames/rts/game/units/custom/effects/EffectRenderer.java
com.corrodinggames.rts.game.units.custom.e.d,semantic-hit,com/corrodinggames/rts/game/units/custom/EffectConfig.java
com.corrodinggames.rts.game.units.custom.e.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.rts.game.units.custom.e.f,semantic-hit,com/corrodinggames/rts/game/units/custom/effects/EffectManager.java
com.corrodinggames.rts.game.units.custom.e.f$1,semantic-hit,com/corrodinggames/rts/game/units/custom/effects/EffectManager$1.java
com.corrodinggames.rts.game.units.custom.f,semantic-hit,com/corrodinggames/rts/game/units/custom/UnitParameter.java
com.corrodinggames.rts.game.units.custom.f.a,obf-hit,com/a/a/a/a.java
com.corrodinggames.rts.game.units.custom.f.b,semantic-hit,com/corrodinggames/rts/game/units/actions/ActionFilter.java
com.corrodinggames.rts.game.units.custom.f.b$1,semantic-hit,com/corrodinggames/rts/game/ai/strategies/ActionFilter$1.java
com.corrodinggames.rts.game.units.custom.f.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.units.custom.f.d,obf-hit,com/corrodinggames/rts/game/units/commands/slots/d.java
com.corrodinggames.rts.game.units.custom.f.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.rts.game.units.custom.g,semantic-hit,com/corrodinggames/rts/game/units/custom/TeamTag.java
com.corrodinggames.rts.game.units.custom.h,semantic-hit,com/corrodinggames/rts/game/units/custom/UnitConfig.java
com.corrodinggames.rts.game.units.custom.i,semantic-hit,com/corrodinggames/rts/game/units/custom/CollisionShape.java
com.corrodinggames.rts.game.units.custom.j,semantic-hit,com/corrodinggames/rts/game/units/custom/CustomUnitType.java
com.corrodinggames.rts.game.units.custom.k,semantic-hit,com/corrodinggames/rts/game/units/custom/WeaponMount.java
com.corrodinggames.rts.game.units.custom.l,semantic-hit,com/corrodinggames/rts/game/units/custom/ModUnitRegistry.java
com.corrodinggames.rts.game.units.custom.l$1,semantic-hit,com/corrodinggames/rts/game/units/custom/ModUnitRegistry$1.java
com.corrodinggames.rts.game.units.custom.logicBooleans.BooleanParseException,obf-hit,com/corrodinggames/rts/game/units/custom/logicBooleans/BooleanParseException.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean,obf-hit,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareBooleanOnly,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareBooleanOnly.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualStrings,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualStrings.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualUnits,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualUnits.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareGreaterThanNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareGreaterThanNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareGreaterThanOrEqualNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareGreaterThanOrEqualNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareLessThanNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareLessThanNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareLessThanOrEqualNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareLessThanOrEqualNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareNotEqualBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareNotEqualNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualStrings,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareNotEqualStrings.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualUnits,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareNotEqualUnits.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNumbers,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareNumbers.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathAddJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathAddJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathDivideJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathDivideJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathModulusJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathModulusJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathMultiplyJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathMultiplyJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathSubtractJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$MathSubtractJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$StringJoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$StringJoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean,obf-hit,com/corrodinggames/rts/game/units/custom/effects/LogicBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$AbstractNumberBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$AbstractNumberBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$AndBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$AndBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$CallContext.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext_self,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$CallContext_self.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext_selfAndTarget,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$CallContext_selfAndTarget.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$JoinerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$JoinerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicBooleanCommon,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$LogicBooleanCommon.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicBooleanCommonLocking,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$LogicBooleanCommonLocking.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicNumberOnly,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$LogicNumberOnly.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$NotBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$NotBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$OrBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$OrBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$Parameter,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$Parameter.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$ReturnType,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$ReturnType.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$StaticBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBooleanFalse,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$StaticBooleanFalse.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBooleanTrue,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$StaticBooleanTrue.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticValueBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$StaticValueBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$TimeBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean$TimeBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanActionFilter,obf-hit,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanActionFilter.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions,obf-hit,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$AmmoBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$AmmoBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$AmmoIncludingQueuedBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$AmmoIncludingQueuedBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$BuiltAmountBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$BuiltAmountBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CompareUnitsBroken,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$CompareUnitsBroken.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CompletedBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$CompletedBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CustomTimerBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$CustomTimerBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EnergyBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$EnergyBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EnergyIncludingQueuedBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$EnergyIncludingQueuedBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EventTagsBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$EventTagsBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameMapHeightBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$GameMapHeightBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameMapWidthBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$GameMapWidthBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameModeBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$GameModeBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasActiveWaypoint,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasActiveWaypoint.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasFlagBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasFlagDynamicBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagDynamicBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasParent,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasParent.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasResourcesBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasResourcesBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasTakenDamage,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasTakenDamage.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HeightBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HeightBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HeightValueBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HeightValueBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HpBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HpBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$InMapBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$InMapBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsAttackingBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsAttackingBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsControlledByAI,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsControlledByAI.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsGameFrameBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsGameFrameBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsOnTeam,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsOnTeam.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsResourceLargerThan,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsResourceLargerThan.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$IsReversingBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$IsReversingBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$KillsBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$KillsBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$LastConvertedBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$LastConvertedBoolean.java
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$MaxEnergyBoolean,obf-inner,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$MaxEnergyBoolean.java
